| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
| Support | Plan preparation and submissions | N/A | Project plans are to be prepared on 22 x 34 size sheets. Detailed preparation requirements will be directed by the instructor. Plan submissions shall include one 11 x 17 hard copy and one electronic copy which includes all of the design sheets containing the concepts and elements outlined in the Preliminary Plan Submission Checklist (checklist to be provided). | N/A | N/A |
| Support | Report submissions | N/A | Each report submissions shall include one bound hard copy, one unbound hard copy, and one electronic copy of the report. The reports shall include a narrative explaining what was designed and what is recommended. This report shall include an appendix with all the calculations. Final recommendations will be include in the plans. (Further details explaining the total content of each report will be provided.) | N/A | N/A |
| Support | Cost Estimate submissions | N/A | Cost Estimate submissions shall include one hard copy, one unbound hard copy, and one electronic copy of the spreadsheet of the costed items and totals, along with a narrative explaining how the estimate was developed, including assumptions. Calculations shall be included in an appendix for QA/QC reviewers. | N/A | N/A |
| Support | Progress Reports | N/A | Project Progress Reports covering on-going work may be requested of each project team. Progress Reports shall document, at a minimum, Introduction, Work Completed, Work Scheduled and Discussion of Problems Encountered with recommended solutions and Project Assessment. | N/A | N/A |
| Support | Project Presentation guidelines | N/A | A presentation meeting will be held where all team members will take part in presenting their recommended design concept to a review panel that will evaluate their presentation and ask questions about the recommended design concepts. It shall include a PowerPoint presentation covering the required project elements outlined in the Design Concept Report (DCR). In addition to the other submittals discussed herein each team is to provide a presentation handout for the review panel which shall include PowerPoint slides copies of any other pertinent materials. The presentation should be well rehearsed and stay within the time constraints. Other rules, including the format and order will be provided. | N/A | N/A |
| Support | Project Submission and Presentation Costs | N/A | The costs of project submission and presentation materials including reproduction and binding are the expense of each individual team. | N/A | N/A |
| Support | Peer Evaluation guidelines | N/A | The Peer Evaluation Grade is intended to be 10% of the total grade in the course. In the case where individual members who, in the majority view of the other team members, are not contributing “their fair share” to the progress of their specific design elements, the Design Summary Report, and the Statement of Qualifications/Presentation; the individuals in question will be reported to the instructor. If the instructor concurs with the team’s concerns, these individuals will be sent written warnings cautioning them that if immediate improvement is not made their final course grade may be affected. Depending on the infraction course grades may be lowered or the individual may be dropped from the course at CEEM Department’s discretion. | N/A | N/A |
| Support | Quizzes | N/A | Quizzes, scheduled or unannounced, may be given during the course. They will be based on information provided in the lectures and homework assignments and will typically be closed book and notes. As students are expected to attend all classes, no make-up quizzes will be provided with the exception of students with pre-approved absences. Students with pre-approved absences are expected to schedule a time with the instructor, within one week of the missed quiz, outside of normal class hours, to take the quiz. | N/A | N/A |
| Support | Exams | N/A | At the Instructor’s discretion exams may be given during the semester including a Final Exam. They will be based on information provided in the lectures and homework assignments and will typically be closed book and notes. As students are expected to attend all classes, make-up exams will only be allowed for students with pre-approved absences. Missing an exam because of illness or emergency reasons will be considered by the Department on a case by case basis in regards to allowing a make-up exam for such an absence. If a make-up exam is approved, students are expected to schedule a time with the instructor, within one week of the missed exam, outside of normal class hours, to take the quiz. | N/A | N/A |
| Support | ADA Compliance | N/A | The University of Arizona strives to comply with the provisions of the Americans with Disabilities Act and Section 504 of the Rehabilitation Act. Students with disabilities must notify the instructor at the beginning of the semester and must contact the Disability Resource Center. | N/A | N/A |
| Support | Academic Integrity guidelines | N/A | Principle Integrity and ethical behavior are expected of every student in all academic work. This Academic Integrity principle stands for honesty in all class work, and ethical conduct in all labs and clinical assignments. This principle is furthered by the student Code of Conduct and disciplinary procedures established by ABOR Policies 5-308 through 5-404, all provisions of which apply to all University of Arizona students. This Code of Academic Integrity (hereinafter "this Code") is intended to fulfill the requirement imposed by ABOR Policy 5-403.A.4 and otherwise to supplement the Student Code of Conduct as permitted by ABOR Policy 5-308
